【白宇|罗非|照片】#罗非侦探的时装合集#,2020-03-28 19:10:46,"['白宇', '影视', '影视剪辑', '自制', 'CUT', '男神', '罗非', '绅探']","电视剧《绅探》罗非侦探的137截图照合集
背景音乐 : 白宇的《北极耳语》
PS : 张张不重样哦！！！","['【白宇】冷艳非非 在线踩点', '【白宇‖罗非个人踩点合集】', '生活不易，居居叹气 | 又名：在龙哥理智边缘疯狂试探的bei老师', '【白宇|台词向】不完全群像 大型耳朵怀孕现场', '【翻昀覆宇||白宇×张若昀】陈山与罗非的反派生涯（不是）●大小姐和大少爷的反派生涯', '【白宇】色气向剪辑Toxic', '【你好探长】白宇罗非。以罪犯视角+病娇配音（请戴耳机BGM：ARRIVAL）绅探视频征集', '【白宇x张若昀】种族不同也要恋爱 开车警告 伪三生三世 小甜饼 赠：楚怀之', '【白宇】《大花轿》《Treasure》舞蹈串烧', '同一个演员不同角色反差有多大【白宇（二）】', '【白宇/罗非】非非的礼仪小课堂上线啦！', '【白宇】白甜甜的嗲精终极教程', '【白宇】【沙雕向】当罗非遇上赵云澜系列对比，会不会成系列我也不知道', '【白宇水仙】【韩沉 | 罗非】大小姐和大少爷的反派生涯', '【绅探/西装暴徒/踩点/混剪】雅痞绅士白宇来了！！！', '【白宇】  【绅探】“不一样的侦探——多面转换”', '“中戏，教出来的是演员”', '【白宇/罗非】白宇哥哥的陕西话出来后，突然想起了佟湘玉', '【朱一龙|白宇】居北合体一直播的糖点cut', '【白宇】如果白宇不配合系列，记者：我太难了！']",100000002,15159,6,154,50,6,10,210,"['av100000002', '九位数嘛！？', 'up互粉吗', '搜av号能进来？', '一亿已经没了']"
av100000000今日诞生！带你看B站十年av号爆炸式增长,2020-03-28 21:58:13,"['数据可视化', '知识', '社科人文', 'av1亿', 'bv号', '发展史', 'av号']","热烈庆祝av100000000的诞生！
本视频av号: av100000003

视频中出现的链接有
av转bv算法: av98869161
bv转av插件: BV12A411874y
证明av号仍然存在并持续增长中: av99562371

BGM: 削除 - AXION","['【数据可视化】B站涨粉排行榜——近期涨粉最快的是谁？看完你就知道了！', '【终极考古】B站历年粉丝数排行！谁是榜首UP主，谁是时代眼泪？', '【av20】初音ミク(40mP) - 巨大少女【夢幻劇院PV 中文字幕】', '【东方x音游】各音游里的东方曲自制谱集合（长期更新）', 'B站近期掉粉最快榜,英梨梨゙,公主连结ReDive,徐大sao【吃瓜日报-2020年12月08日23点】', '【Cytus自制粪谱合集】我的前5张Cytus自制谱面', '守望先锋 威尼斯行动 哈瓦那行动 限定英雄爆笑过传奇方法', '美服ow开黑录像', '守望先锋 今天起将永久允许使用外挂？地图工坊自瞄模式视频', '300小时灵性堡垒集锦！', '【Cytus2自制】我的自制谱合集（长期更新）', '守望先锋新地图 巴黎 卡bug出图 跳埃菲尔铁塔教程', '【Cytus自制】Kitsune^2 - Rainbow Tylenol Lv.9', '【Cytus自制】96猫 - 嘘の火花 Hard Lv.8', '30个月的守望日记~纪念向！2017.3~2019.9', '【Cytus自制】汪苏泷 - 三国杀 Hard Lv.8', '【地图工坊】在守望先锋里玩lol 目前最真实的塔防模式体验视频']",100000003,17776,63,231,262,56,22,545,"['说几件事\n1. 相信使用概念版和bv2av的小伙伴们已经发现了，3/31起av号已全部变为随机9位数，即不再按顺序进行。其实在23日bv号官宣后(当时av号排到约av98640000)，部分up主的投稿av号已经出现随机数(如央视最后一个按顺序的av号是3/26的av99537691，下一个变为av837532303，此后全部随机)，而其余用户的投稿av号仍按顺序进行，如我和av99990000的up主。但31日下午起，全站用户av号全部变为随机。众所周知，av号的意义是“b站第几个视频”，每一个特殊的数字都映射着b站历史上的一小段缩影。现在不再按顺序排列，即便av号的数字还存在，但也仅存空壳，彻底失去意义。我们终于可以正式宣布：av时代彻底结束(2009.6.24~2020.3.31)！最后一个按顺序进行的av号应该落在av100670000区间，具体是多少有兴趣的同学可以去探索下。这将是真正的“最后一个（有意义的）av号”。\n2. av100000000不会有了。原因5可奉告\n3. av3由于无法找到原始稿件，不再补档\n4. av100000019 = av19补档，av100000020 = av20补档。欢迎各位去这两个视频回味小破站的初心！', 'R.I.P av1\n(2009/6/24 ~ 2020/4/5)', '立个flag 数据可视化今晚12点前应该能过审。av100000003\n另外2P我想放av3的补档，由于av3有两种说法：一个是 绯想天则比赛战报 另一个是 电影后会无期，我干脆两个都放，你们怎么看', 'cy2的Halloween party（音游人狂喜）', '音游av号\nav40000000\nav89999999\nav90000001\nav100000003\n日常性歌（']"
【8bit音乐】竹取飞翔,2020-03-29 14:19:15,"['东方', '音乐', '音乐综合', '东方PROJECT', '蓬莱山辉夜', '东方永夜抄', '音乐', '竹取飞翔']",av100000004,"['【初音未来MIKU】永夜霜月 Vocaloid ver.【TsuBaKi】「永-TOWA」【东方永夜抄中心同人音乐】', '【诸葛琴魔】竹取飞翔', '【东方钢琴MIDI】竹取飞翔 ～ Lunatic Princess', '【吉他】蓬莱山辉夜BGM-竹取飞翔~Lunatic princess 金属版cover', '【长笛&单簧】竹取飛翔（东方永夜抄）', '【东方管弦】永遠のお姬様（竹取飛翔~Lunatic Princess）', '【東方】竹取飛翔～Lunatic Princess', '[东方永乐抄]竹取飛翔 ～ Lunatic Teacher', '【东方/八音盒】竹取飞翔 ～ Lunatic Princess / 东方永夜抄\u3000～ Imperishable Night.', '【东方PV动画/竹取飞翔】moon light magic【JAZZ】', '【东方改编曲】月光（和风）【竹取飞翔 ～ Lunatic Princess】', '8bit版竹取飞翔', '蓬莱山辉夜-竹取飞翔', '【授权转载】【东方Arrange】曲风多变的竹取飞翔（良作推荐）', '【东方vocalPV】暁Records/少女綺想曲【例大祭14】', '【东方描改手书】 蕾拉的幸福理论 普莉兹姆利巴姐妹', '东方永夜抄组曲(充电男合作)', '【東方高清】『しゅわスパ大作戦☆』【PVD】', '【东方MAD】竹取飞翔', '竹 取 飛 翔——北宇治吹奏乐部演奏！']",100000004,2361,4,35,61,8,1,151,"['av100000004[OK]', 'av100000012\nav99999999', '加油取得av1亿', '新时代的车万', '东方怎么抢号这么厉害啊（恼火']"
音乐走起,2020-03-28 18:49:46,"['生活', '日常', '生活记录']",-,"['the real suger baby已知最高画质', '喵内~喵内~喵内~', '漫画家的人生：画下去！要一直画下去！', '【火花全明星】142秒听完鬼畜区50句粗鄙之语4！', '“你看，武汉的樱花开了！”', '去大理', '在路上', '专业团队 (Megalovania Cover) Astronomia', '【FA音乐】SANS的真正战斗曲', '妈妈，我和一只鹅成了朋友', '让xx变得高兴起来原版素材', '云演奏《我和我的祖国》| BUCT&DHU&SUIBE 同为抗疫工作者奏鸣赞歌', '悲伤神社', '日子', '《 骚 鸡 再 现 》', '啊这，我也就看了几百遍吧！！', '【8bit音乐】竹取飞翔', '糖鸡-闵玧其 朴智旻- Holla - 自制 渣剪', 'MADOX丨BELIEVE ME丨100% Vocals', '辑  你  太  美']",100000007,1477,2,20,3,0,0,22,"['嗯？av100000007？[惊讶][惊讶][惊讶]', '恭喜up获得首个过审的过亿正常av号', '由于av100000002的出现，将取消关注', '九位数时代真正开始', '目前最接近一亿的视频，一亿零七']"
【东方头破七分】 0721幻想乡 ～ History of the Machan,2020-03-29 00:51:00,"['鬼畜', '鬼畜', '音MAD', '创价学会', '东方头破七分', '久本雅美', '千年幻想乡', '创价', '0721', '必須アモト酸']",av100000010,"['【彈幕錄屏】おもらしえーりん(附n站彈幕)', '【创价】天国与地狱', '【创价】某五位数p1规避', '【东方头破七分】狂气的久本桑～ Invisible Full Airmoto', '【東方頭破七分】学会眷恋的幻想乡', '【東方頭破七分】竹取飛翔 ～ Lunatic Airmoto', '决战！！！创价学会！', '0721森林', '慧音老师的画像集', '宫古芳香的███画像集', '【创价】劝诱飞翔 ~ Lunatic Man', '【東方頭破七分】御本尊大人の通道', '琪露诺与因幡帝的音███流出', '东方头破七分合作～The Best Airmoto【2018创价祭】', '【東方頭破七分】御本尊様の山~ Religious Mountain', '【东方头破七分合作】老女本 3rd eyes', '久本雅美自卫动态版', '【东方头破七分】灵梦的私密写真流出', '【元首】千年纳粹乡～History of the ZhaZha', '蓬莱山輝夜画像']",100000010,3154,3,48,74,6,3,129,"['av100000010', '0+7+2+1=10', '又是东方？一亿后面怎么都是东方？你们是地下党吗？', '首页', '100000003和100000010都是东方[热词系列_爱了爱了]']"
【碳酸根的游戏实况】《奥日与黑暗森林（Ori and the Blind Forest）》小白老鼠666，会跑会跳biubiubiu~,2020-03-28 20:51:53,"['游戏', '单机游戏', '实况攻略', '游戏实况', '个人留念']",奥日与黑暗森林一周目全流程~个人留念向，渣分P警告……,"['【OST】Ori and the Blind Forest《奥日与黑暗森林》专辑', '奥日与黑暗森林   第一期', '【超清】奥日与黑暗森林ori 终极版 全剧情通关流程', '【猫诺】【奥日与黑暗森林终极版】全生命能量经验球收集', '画风极其唯美的游戏:奥里与黑暗森林Ori and the Blind Forest', '奥日黑暗森林 5', '【GMV】奥日与黑暗森林（Ori and the Blind Forest）失落与救赎', '【完结】嗨氏《奥日与黑暗森林》Ori and the Blind Forest：01-07猫头鹰NB，完结撒花~第二部见。', '《奥日与黑暗森林终极版》全收集100%地图探索全剧情终完美攻略视频', '【正常通关流程】奥里与黑暗森林【简单攻略】Ori and the Blind Forest', '奥日与黑暗森林Ori and the Blind Forest 个人娱乐实况', '【ori and the blind forest】终极版新地图黑根洞穴初见', '奥日与黑暗森林 Final 版 花絮（Ori and the Blind Forest）', '学会这13个小技巧让你的奥日滑着走！', '【PJ】Ori奥日与黑暗森林终极版 100％开图 全收集 按剧情3小时通关（共5P）', '【奥日与黑暗森林】到底讲了一个什么故事？剧情中那些感动与震撼的瞬间！Ori And The Blind Forest 感恩相遇！', '【1080P60】奥日与黑暗森林 标准版100%全收集通关实况', '（旧纪录）《奥日与黑暗森林》1小时 6分 58秒 100%完成度 最速通关speedrun Ori and the Blind Forest 1h 06m 58', '【完结】《奥日与黑暗森林》全剧情流程解说合集（共8p，已完结）', '飞奔吧Ori！国外玩家57分种通关奥日与黑暗森林实况（小哥自带吐槽与解说）']",100000012,697,2,6,3,4,1,12,"['av100000012 ！\nohhhhhhhhhhhhhhhhhhhhhhh\n这位up主你抢到了av100000002与av100000007之后的第三个破亿av号！在此祝贺！[鼓掌][鼓掌][鼓掌]', '恭喜神号AV100000012', '破亿了！！！！', '扫了一遍设置 发现没有中文hhh']"
【音MAD】Shibata layer,2020-03-29 14:27:59,"['鬼畜', '鬼畜', '音MAD', '久本雅美', '创价学会', '音MAD', 'Angelic layer']",av100000015,"['【创价学会】Blue Yellow Red Head Joe', '当年菜鸟-致曾经伴我们玩过Minecraft的伙伴', '【音mad】Oshakasama Scramble!', 'JOJO的奇妙镇魂曲（合作音mad）', '【入门向】对不熟悉创价者的入门视频', '【東方】 チルノのすうがく教室', 'The Sokapet', '宫古芳香的███画像集', 'NEET姬日常锻炼', '【音mad】Shibata layer', '这真的只是一个普通的过山车。', '『Maimai DX×创价学会』valsqotch', '⑨⑨⑨，天长地久般的共荣！', '八目鳗穴', '【BMS】 Angelic Layer', 'Nation Blue东方风arrange', '无乐感扒谱大法', '[BMS] ★★4 Angelic Layer 名人 HARD CLEAR', '【G2R2018】LIGHT OF HARMONY', '【C78】Cristierra\u3000Angelic  layer']",100000015,366,0,19,12,2,1,15,"['[呆]群里人推荐我投的，没想到撞了', '創價大勝利，av100000010也事創價，只要我們堆越多的創價，早晚會在屑站崛起', '有无人给个推荐，我实在想不好投什么', '这个PV是谁做的，已知音频国人', 'AV100000015']"
【合作转载】IP小站×败家洋子迷之生活-潮玩购物体验分享～拆盲盒福利满满,2020-03-28 19:43:34,"['拆盲盒', '开箱', '生活', '日常', 'IP小站', 'IP Station', '开盒', '潮玩', '盲盒']","https://www.bilibili.com/video/BV18J411z7Lt
【合作转载】IP小站×败家洋子迷之生活-潮玩购物体验分享～拆盲盒福利满满
合作拆箱UP主：败家洋子迷之生活，bv18J411z7Lt
更多福利，请关注IP小站，喜欢的话请长按点赞三连，等你来哦！","['终于收到了！伦敦宝可梦中心快闪店的限定商品！哩呲咔开箱', '【合作转载】IP小站×野上Ayla-」UP竟然拿IP小站送的礼物给粉丝抽奖', '【合作转载】IP小站×T子钵钵球-IP小站又来送惊喜啦~内含福利！两只都送给你们~', '【合作转载】IP小站×今天我偷渡成功了吗-福利开奖啦开奖啦 快来看看花落谁家', '【2000粉福利】拆kimmy&miki盲盒，点赞666评论区包邮送！真香！', '【合作转载】IP小站×雨沫芊浅-拆盲盒啦~视频末尾有福利吖~', '【拆盲盒】刘昊然你好，我来拆盲盒了。微信粉丝群已建立，可以截图扫码加入', '拆拆拆LOL闪亮球（全网最悲惨的拆盒经历！）', '【IP云逛展】20200320回顾 IP小站×王惊奇 DreamsStation 1.0 一期一汇', '【福利抽奖】盲盒福利来啦！粉丝破两千b站&粉丝群双开奖！感谢小伙伴一直以来的陪伴！（开奖详情见简介）', '「IP小站」拆萌奇牛油果 胖吉猫Pusheen魔法系列盲盒 最可爱的新款盲盒 福利向 UP送6个盲盒啦', '拆五个玩具总动员4的盲盒', '拆Tokidoki独角兽和Starry星河系列盲盒及测评（误）。', '【拆盲盒&福利】潘神爱丽丝优享抢先拆～超级可爱！', '【自制】雀巢KitKat奇巧迪士尼“武功米奇”ip联名手办巧克力黑巧威化零食礼盒', '[盲盒1r1个]比心兔1块钱？视频里送盲盒福利！中奖率超高！送台产米数不雕花', '【合作转载】IP小站×zf蓝宝-IP小站潮玩平台购物分享，最新的盲盒开箱，结尾依旧是抽奖福利！', '【合作转载】IP小站×八圣熊x-非也就算了还带着点绿hhIP小站双十一回血福利，撕裂熊、阿狸、樱桃小丸子、kimmy&miky', '【合作转载】IP小站×闪闪啊V-海绵宝宝半解剖kimmy&miki动物系列+LULU猪六连拆', '【盲盒|好物推荐】新的一年疫情期间东京来拆盲盒｜dimoo优享｜拼乐高｜分享星巴克福袋｜有的没的的购物分享']",100000017,177,0,6,0,0,0,5,"['第17个破亿av', '来啦！', '我見證了歷史！！', '[热词系列_打卡]', '我昨天刚买了这个音乐盲盒']"
【东方】幻想乡～旅行的结束～ver1.0,2020-03-28 22:23:10,"['手书', '东方', '动画', '短片·手书·配音', '东方PROJECT', '东方手书剧场', '远古视频']","作者：kagikake
十二年前的远古老物，也是av19的原视频，算是补档吧。av19可能是b站第一个手书视频","['[豪华版]东方游戏魔改  真·东方朱元璋', '【东方逆转裁判】东方华灯宴特别法庭', '【冴月麟的】冴月、冴月、冴月麟！', 'av19【补档】---   幻想乡-旅途的终点', '这次疫情会让B站倒退5年', '【東方】污秽的婊太阳 第一章', '姆Q自动贩卖机（1回100円）', '差点吃掉觉之瞳的恋恋', '东方幻想万华镜', '【快板】幻想乡内马拉松 各方神仙显神通', '【4K修复】【東方】魔理沙＼(・ω・＼)ＳＡＮ值！(／・ω・)／危机！【手书】', '幻想乡末日前的三小时', '爽到爆炸的同人游戏，操控时间秒杀一切【游戏挖掘室03】', '东方版《搞笑漫画日和》', '2019年最值得剁手的东方同人游戏', '吸血鬼“进化史”，逐渐萌化！！', '【BanGDream手书】无论濑田薰说什么都不会听的白鹭千圣', '（FGO×东方）我的从者居然去了幻想乡？盘点FGO和东方同人作品中那些CV相同的角色', '【40mP】悪役にキスシーンを Kiss the Villain【初音ミク】', '[MUGEN]小恶魔人物发布']",100000019,6206,5,21,259,16,10,365,"['av100000019 = av19\nav100000020 = av20\n回归初心！', 'av19 av100000019 刚好一万，一万这个代表av号“结束”的数字', 'av100000019，恰好隔着1亿个av号', '好几个神号都是东方[热词系列_爱了爱了]还能战几年', '师酱退休，师醬却还在搬运视频，av19到av100000019\n原来东方强大的生命力并不只来源于它强大的创作活力，更来源于它生生不息的，传承的精神']"
【av20】初音ミク(40mP) - 巨大少女【夢幻劇院PV 中文字幕】,2020-03-30 20:42:18,"['初音未来', 'VOCALOID', '音乐', 'VOCALOID·UTAU', 'PV', 'MIKU', '补档']","本视频av号：av100000020
回归初心，特将此av号用于补档av20，B站第一首V家曲！附带PV及歌词日文+中文字幕~

原曲链接：sm7164046
作词/作曲/编曲：40㍍P
曲绘：ぎた
Logo设计：arico","['【鏡音リン/中文字幕】AI情劣等生【かいりきベア】', '【初音ミク】Hatsune【1640mP】', 'DECO*27 - ポジティブ・パレード feat. 初音未来', '【初音ミク】把大家都MikuMiku掉♪【极赞PV】', '【初音ミク】 追想陽歌 【40MP】', '【40mP】悪役にキスシーンを Kiss the Villain【初音ミク】', '【初音ミク】破瓜【のうべんばあ】【补档】', '【初音ミク】与反派的吻戏【40mP】', '【40mP】恋愛裁判 Love Trial【初音ミク】', '【まふまふ】幽灵法则', '【40mP】SHAKER【初音ミク】', '【40mP】活動小丑【Music Video】', '【初音ミク】就算没有爱 只要有你就好【ピノキオピー】', '【40mP】眠れない夜に【初音ミク】', 'DECO*27 - 乙女解剖 feat. 初音未来 (TeddyLoid Alllies Remix)', '「Cytus2」PAFF新神曲-So in love-好听到爆炸-浑沌MM-谱面欣赏向！', 'DECO*27 - アンドロイドガール feat. 初音未来', '【初音ミク】 巨大少女 【40mp】', '【40mP】からくりピエロ Karakuri Pierrot【初音ミク】', '【初音ミク】砂之行星【ハチ】【魔法未来2017主题曲】']",100000020,10604,27,117,504,58,13,625,"['[星星眼]', '想来重温一下av20结果没了！很感谢up把它找出来', '三连了，up强[热词系列_吹爆]', '我看过av20原版', '[2233娘_大笑]还是耐听']"
